Date,CLOSE,HIGH,LOW,OPEN,VOLUME
1996-12-31,440.156,,,,
1997-01-02,440.293,,,,
1997-01-03,440.378,,,,
1997-01-06,440.554,,,,
1997-01-07,440.616,,,,
1997-01-08,440.668,,,,
1997-01-09,440.783,,,,
1997-01-10,440.804,,,,
1997-01-13,440.981,,,,
1997-01-14,441.083,,,,
1997-01-15,441.174,,,,
1997-01-16,441.216,,,,
1997-01-17,441.297,,,,
1997-01-20,441.482,,,,
1997-01-21,441.535,,,,
1997-01-22,441.588,,,,
1997-01-23,441.659,,,,
1997-01-24,441.712,,,,
1997-01-27,441.881,,,,
1997-01-28,441.944,,,,
1997-01-29,442.006,,,,
1997-01-30,442.084,,,,
1997-01-31,442.169,,,,
1997-02-03,442.399,,,,
1997-02-04,442.461,,,,
1997-02-05,442.523,,,,
1997-02-06,442.595,,,,
1997-02-07,442.647,,,,
1997-02-10,442.823,,,,
1997-02-11,442.875,,,,
1997-02-12,442.947,,,,
1997-02-13,443.028,,,,
1997-02-14,443.1,,,,
1997-02-18,443.355,,,,
1997-02-19,443.434,,,,
1997-02-20,443.513,,,,
1997-02-21,443.549,,,,
1997-02-24,443.741,,,,
1997-02-25,443.786,,,,
1997-02-26,443.808,,,,
1997-02-27,443.839,,,,
1997-02-28,443.894,,,,
1997-03-03,444.074,,,,
1997-03-04,444.159,,,,
1997-03-05,444.244,,,,
1997-03-06,444.286,,,,
1997-03-07,444.36,,,,
1997-03-10,444.569,,,,
1997-03-11,444.652,,,,
1997-03-12,444.696,,,,
1997-03-13,444.701,,,,
1997-03-14,444.774,,,,
1997-03-17,444.947,,,,
1997-03-18,444.984,,,,
1997-03-19,445.04,,,,
1997-03-20,445.069,,,,
1997-03-21,445.091,,,,
1997-03-24,445.296,,,,
1997-03-25,445.361,,,,
1997-03-26,445.443,,,,
1997-03-27,445.492,,,,
1997-03-31,445.769,,,,
1997-04-01,445.866,,,,
1997-04-02,445.953,,,,
1997-04-03,446.091,,,,
1997-04-04,446.113,,,,
1997-04-07,446.295,,,,
1997-04-08,446.36,,,,
1997-04-09,446.424,,,,
1997-04-10,446.479,,,,
1997-04-11,446.543,,,,
1997-04-14,446.737,,,,
1997-04-15,446.837,,,,
1997-04-16,446.928,,,,
1997-04-17,447.009,,,,
1997-04-18,447.038,,,,
1997-04-21,447.229,,,,
1997-04-22,447.342,,,,
1997-04-23,447.397,,,,
1997-04-24,447.484,,,,
1997-04-25,447.523,,,,
1997-04-28,447.683,,,,
1997-04-29,447.791,,,,
1997-04-30,447.897,,,,
1997-05-01,447.972,,,,
1997-05-02,448.025,,,,
1997-05-05,448.284,,,,
1997-05-06,448.434,,,,
1997-05-07,448.443,,,,
1997-05-08,448.527,,,,
1997-05-09,448.622,,,,
1997-05-12,448.809,,,,
1997-05-13,448.882,,,,
1997-05-14,448.944,,,,
1997-05-15,449.084,,,,
1997-05-16,449.126,,,,
1997-05-19,449.182,,,,
1997-05-20,449.337,,,,
1997-05-21,449.551,,,,
1997-05-22,449.664,,,,
1997-05-23,449.68,,,,
1997-05-27,449.911,,,,
1997-05-28,449.971,,,,
1997-05-29,450.079,,,,
1997-05-30,450.193,,,,
1997-05-31,450.193,,,,
1997-06-02,450.348,,,,
1997-06-03,450.354,,,,
1997-06-04,450.404,,,,
1997-06-05,450.381,,,,
1997-06-06,450.496,,,,
1997-06-09,450.691,,,,
1997-06-10,450.743,,,,
1997-06-11,450.854,,,,
1997-06-12,450.895,,,,
1997-06-13,450.966,,,,
1997-06-16,451.122,,,,
1997-06-17,451.175,,,,
1997-06-18,451.21,,,,
1997-06-19,451.263,,,,
1997-06-20,451.299,,,,
1997-06-23,451.42,,,,
1997-06-24,451.467,,,,
1997-06-25,451.547,,,,
1997-06-26,451.595,,,,
1997-06-27,451.659,,,,
1997-06-30,451.836,,,,
1997-07-01,451.878,,,,
1997-07-02,451.943,,,,
1997-07-03,452.071,,,,
1997-07-07,452.397,,,,
1997-07-08,452.47,,,,
1997-07-09,452.522,,,,
1997-07-10,452.575,,,,
1997-07-11,452.658,,,,
1997-07-14,452.836,,,,
1997-07-15,452.908,,,,
1997-07-16,452.989,,,,
1997-07-17,453.025,,,,
1997-07-18,453.035,,,,
1997-07-21,453.2,,,,
1997-07-22,453.281,,,,
1997-07-23,453.377,,,,
1997-07-24,453.432,,,,
1997-07-25,453.503,,,,
1997-07-28,453.7,,,,
1997-07-29,453.77,,,,
1997-07-30,453.812,,,,
1997-07-31,453.868,,,,
1997-08-01,453.887,,,,
1997-08-04,454.084,,,,
1997-08-05,454.139,,,,
1997-08-06,454.204,,,,
1997-08-07,454.259,,,,
1997-08-08,454.336,,,,
1997-08-11,454.564,,,,
1997-08-12,454.629,,,,
1997-08-13,454.675,,,,
1997-08-14,454.75,,,,
1997-08-15,454.845,,,,
1997-08-18,455.05,,,,
1997-08-19,455.115,,,,
1997-08-20,455.171,,,,
1997-08-21,455.227,,,,
1997-08-22,455.301,,,,
1997-08-25,455.462,,,,
1997-08-26,455.553,,,,
1997-08-27,455.618,,,,
1997-08-28,455.748,,,,
1997-08-29,455.812,,,,
1997-08-31,455.812,,,,
1997-09-02,455.976,,,,
1997-09-03,456.096,,,,
1997-09-04,456.171,,,,
1997-09-05,456.203,,,,
1997-09-08,456.407,,,,
1997-09-09,456.512,,,,
1997-09-10,456.586,,,,
1997-09-11,456.63,,,,
1997-09-12,456.734,,,,
1997-09-15,456.886,,,,
1997-09-16,457.006,,,,
1997-09-17,457.023,,,,
1997-09-18,457.096,,,,
1997-09-19,457.196,,,,
1997-09-22,457.411,,,,
1997-09-23,457.499,,,,
1997-09-24,457.662,,,,
